zipcode,score,name,latitude,longitude
6897,0.631095863,"WILTON, CT 06897",41.2,-73.43
6901,0.504285194,"STAMFORD, CT 06901",41.05,-73.54
6902,0.8492245672,"STAMFORD, CT 06902",41.05,-73.54
6905,0.7491754736,"STAMFORD, CT 06905",41.08,-73.55
7083,0.5133437306,"UNION, NJ 07083",40.7,-74.27
7302,0.5045102194,"JERSEY CITY, NJ 07302",40.72,-74.05
7724,0.5042404591,"EATONTOWN, NJ 07724",40.3,-74.07
7728,0.5009857272,"FREEHOLD, NJ 07728",40.24,-74.28
7960,0.5885574307,"MORRISTOWN, NJ 07960",40.79,-74.48
8002,0.7463202477,"CHERRY HILL, NJ 08002",39.93,-75.02
8003,0.6158078057,"CHERRY HILL, NJ 08003",39.88,-74.97
8016,0.5465902049,"BURLINGTON, NJ 08016",40.07,-74.84
8021,0.5026405796,"CLEMENTON, NJ 08021",39.81,-75
8034,0.515526019,"CHERRY HILL, NJ 08034",39.91,-75
8043,0.6466387589,"VOORHEES, NJ 08043",39.85,-74.96
8053,0.781649417,"MARLTON, NJ 08053",39.88,-74.9
8054,0.9195986277,"MOUNT LAUREL, NJ 08054",39.95,-74.9
8055,0.5357910248,"MEDFORD, NJ 08055",39.86,-74.82
8080,0.5819136341,"SEWELL, NJ 08080",39.75,-75.1
8081,0.6768936839,"SICKLERVILLE, NJ 08081",39.74,-74.99
8094,0.5819094947,"WILLIAMSTOWN, NJ 08094",39.66,-74.97
8096,0.6842356247,"WEST DEPTFORD, NJ 08096",39.83,-75.13
8109,0.5754685002,"MERCHANTVILLE, NJ 08109",39.95,-75.05
8540,0.6770603495,"PRINCETON, NJ 08540",40.36,-74.64
8701,0.707230066,"LAKEWOOD, NJ 08701",40.08,-74.21
8873,0.5294513753,"SOMERSET, NJ 08873",40.51,-74.51
10001,0.7610923782,"NEW YORK, NY 10001",40.75,-74
10003,0.7897458911,"NEW YORK, NY 10003",40.73,-73.99
10010,0.6351750722,"NEW YORK, NY 10010",40.74,-73.98
10011,0.741076505,"NEW YORK, NY 10011",40.74,-74
10012,0.6711575494,"NEW YORK, NY 10012",40.73,-74
10013,0.7289762159,"NEW YORK, NY 10013",40.72,-74
